-*- mode:org -*-

# buckpuck_current_controller.lst
| ref | value         |
|-----+---------------|
| B1  | BUFFER_EL5227 |
| BP1 | BUCKPUCK      |
| BP2 | BUCKPUCK      |
| BP3 | BUCKPUCK      |
| BP4 | BUCKPUCK      |
| C1  | 10uF          |
| C2  | 10uF          |
| C3  | 10uF          |
| C4  | 0.33uF        |
| C5  | 0.1uF         |
| C6  | 10uF          |
| C7  | 0.1uF         |
| C8  | 4.7uF         |
| C9  | 0.1uF         |
| C10 | 10uF          |
| C11 | 0.1uF         |
| D1  | AD57X4R       |
| P1  | POWER         |
| P2  | ResetOverride |
| P3  | Display       |
| P4  | I/O           |
| P5  | CONN_1        |
| P6  | CONN_1        |
| P7  | CONN_1        |
| P8  | CONN_1        |
| P9  | CurrentOutput |
| P10 | CurrentOutput |
| P11 | CurrentOutput |
| P12 | CurrentOutput |
| P13 | I/O           |
| R1  | 68            |
| RV1 | POT           |
| RV2 | POT           |
| RV3 | POT           |
| RV4 | POT           |
| U1  | V7809         |
| U2  | ARDUINO_NANO  |

# Bill of Materials
| ! | part      | description                             | vendor            | part number     | quantity |   cost |
|   | U2        | A Female Panel Mount to Mini-B Male 12" | usbfirewire.com   | RR-2MB-AFPM-12G |        1 |  13.25 |
|   | ENCLOSURE | Enclosure Front                         | frontpanelexpress |                 |        1 |  50.32 |
|   | ENCLOSURE | Enclosure Back                          | frontpanelexpress |                 |        1 |  40.00 |
|   | ENCLOSURE | Enclosure Bottom                        | frontpanelexpress |                 |        1 |  49.11 |
|   | ENCLOSURE | Enclosure Top                           | frontpanelexpress |                 |        1 |  49.07 |
|   | ENCLOSURE | Enclosure Sides                         | frontpanelexpress |                 |        2 |  43.47 |
|   | ENCLOSURE | Enclosure Housing Profiles, 230mm       | frontpanelexpress | GL GP 20 11-230 |        4 |   7.20 |
|   | ENCLOSURE | Button Head Cap Screw M5, 20 mm         | mcmaster          | 92095A214       |        8 |   0.18 |
|   | ENCLOSURE | Hex Nut W/Tooth Washer M3               | mcmaster          | 93825A110       |        6 |   0.10 |
|   | ENCLOSURE | Cap Screw M3 Size, 8 mm                 | mcmaster          | 92095A181       |        6 |   0.11 |
|   | ENCLOSURE | Bumper Dome Top, 3/8", 5/32"            | mcmaster          | 95495K391       |        4 |   0.05 |
|   | ENCLOSURE | Wire, 2C, 22AWG, 7"                     | jameco            | 732996          |        4 |   0.20 |
|   | ENCLOSURE | Ring Terminal, 22-18 AWG, #8 Stud       | mcmaster          | 7113k855        |       14 |   0.45 |
|   | ENCLOSURE | Wire, 3C, 22AWG, 7"                     | jameco            | 733024          |        1 |   0.21 |
|   | ENCLOSURE | Ring Terminal, 22-18 AWG, #6 Stud       | mcmaster          | 7113K854        |        6 |   0.45 |
|---+-----------+-----------------------------------------+-------------------+-----------------+----------+--------|
| # | total     |                                         |                   |                 |          | 738.23 |
#+TBLFM: @62$7=(@I$quantity..@II$quantity)*(@I$cost..@II$cost);%.2f;N
